"","x"
"A93",-42.1469014084507
"A94",-45.9744680851064
"A95",-45.6251546391753
"A96",-46.5609233791749
"A97",-45.4555
"A98",-45.5860759493671
"A99",-45.6588607594937
"A9A",-45.2760465116279
"A9C",-47.4141463414634
"A9D",-46.6666245136187
"A9E",-46.5595843520782
"A9F",-45.7461066969353
"A9G",-50.596
"A9H",-45.7390316901408
"A9J",-47.399
"A9K",-45.1661224489796
"A9L",-47.8125490196078
"A9M",-47.6720886075949
"A9N",-45.7674226804124
"A9P",-48.25
"A9R",-45.4682432432432
"A9S",-46.4438235294118
"A9T",-46.0752985074627
"A9U",-45.4171554252199
"A9V",-47.3480392156863
"A9W",-46.3086966292135
"A9X",-48.5822222222222
"A9Y",-40.0426315789474
"AA0",-46.4826315789474
"AA1",-44.677110817942
"AA2",-44.5601171875
"AA3",-45.9705970149254
"AA4",-47.1109217877095
"AA5",-46.6826435406699
"AA6",-45.1942857142857
"AA7",-46.7593233082707
"AA8",-44.100239390642
"AA9",-45.2692929292929
"AAA",-45.5200934579439
"AAB",-46.4007382550336
"AAC",-45.7977261306533
"AAD",-44.19
"AAE",-46.0623563218391
"AAF",-43.729625137817
"AAH",-45.9956678700361
"AAJ",-47.0057741935484
"AAK",-46.1341055045872
"AAL",-45.7183654822335
"AAM",-42.2598230088496
"AAN",-45.4692361111111
"AAP",-47.2496927374302
"AAR",-47.3570588235294
"AAS",-46.2803083700441
"AAT",-47.0671428571429
"AAU",-45.6030912863071
"AAV",-43.8618689105403
"AAW",-45.1629145728643
"AAX",-46.4031137724551
"AAY",-45.5395808383234
"AB3",-45.0678633975482
"AB4",-48.9145531914894
"AB5",-46.576095971564
"AB6",-48.7405432595573
"ABA",-51.3172614429791
"ABB",-44.2802978723404
"ABD",-45.1254290909091
"ABE",-44.5568380213385
"ABF",-44.5872630216758
"ABG",-44.614703595724
"ABH",-44.4818284061697
"ABJ",-44.6734944147644
"ABK",-44.7925681588691
"ABL",-48.0878270509978
"ABP",-52.3132741312741
"ABR",-50.6913808463252
"ABS",-43.418226790877
"ABU",-44.459244966443
"AC0",-45.5432475884244
"ACH",-50.2116949152542
"ACJ",-53.2342
"ACM",-44.0821549636804
"ACN",-43.9224899598394
"ACP",-44.9774664107486
"ACS",-45.8438461538462
"ACY",-45.4461904761905
"AD2",-49.305924556213
"AD7",-50.2289689578714
"ADB",-47.8630662983425
"ADD",-54.762313559322
"ADF",-46.4040808823529
"ADG",-45.888488372093
"ADH",-49.3948648648649
"ADK",-44.3030248545743
"ADL",-47.0804225352113
"ADM",-42.1286701911346
"ADP",-44.1911975116641
"ADR",-43.9047904191617
"ADW",-49.2814675767918
"ADX",-43.1604651162791
"AE4",-50.559886877828
"AE6",-46.6490196078431
"AE8",-45.0474962216625
"AE9",-52.8033168316832
"AHA",-46.2249248747913
"AHB",-47.2637232524964
"AHC",-46.4062753036437
"AHE",-51.329756097561
"AHF",-46.2901246882793
"AHG",-46.0171620612397
"AHJ",-44.9769913211186
"AHK",-46.2953938356164
"AHM",-45.3038095238095
"AHN",-45.5066806136681
"AHR",-46.2984023668639
"AHT",-46.2210825439783
"AHU",-46.8026721938775
"AHW",-44.1264285714286
"AHX",-46.4133752620545
"AJ0",-44.8695149253731
"AJ2",-47.4589097103918
"AJ3",-47.9464
"AJ5",-46.0512
"AJ6",-46.5864292589028
"AJ8",-45.2886381322957
"AJ9",-46.3059612277868
"AJA",-46.6006087662338
"AJC",-47.56
"AJD",-46.3530373831776
"AJF",-45.698389261745
"AJH",-47.7960526315789
"AJJ",-46.4754615384615
"AJL",-45.5017948717949
"AJM",-45.8820321761219
"AJN",-44.3934669338677
"AJP",-48.1003826530612
"AJR",-46.6547487001733
"AJT",-45.1421951219512
"AJU",-46.2742105263158
"AJV",-46.7546229508197
"AJX",-46.9290491283677
"AJY",-44.4787022900763
"AK1",-46.6609090909091
"AK2",-45.5255106888361
"AK4",-46.0541927710843
"AK6",-47.0093344709898
"AK8",-46.584296875
"AK9",-45.1308024691358
"AKB",-47.8058125
"AKD",-47.034776119403
"AKE",-47.4985425101215
"AKG",-46.2022580645161
"AKH",-47.0160989643268
"AKJ",-44.8976290630975
"AKL",-47.4277202072539
"AKM",-47.3220875684128
"AKP",-46.6527777777778
"AKR",-47.9014186851211
"AKS",-45.454
"AKU",-46.9280476190476
"AKV",-47.6747125
"AKX",-47.0691275167785
"AKY",-47.1604487179487
"AL0",-46.1436842105263
"AL2",-48.2172346368715
"AL3",-47.2812723903644
"AL5",-44.1367441860465
"AL6",-46.9933968253968
"AL7",-43.746380952381
"AL8",-54.0427647534357
"ALH",-40.8890562166598
"ALK",-45.06
"ALL",-40.8397373221452
"ALM",-48.5955484896661
"ALN",-50.4131084337349
"ALP",-47.824156219865
"ALT",-47.5172361809045
"ALU",-51.3185957792208
"ALX",-45.0706465517241
"ALY",-52.4389833479404
"AM0",-45.4015166461159
"AM1",-46.67128
"AM2",-43.5271844660194
"AM4",-47.2711533957845
"AM5",-46.5429660377358
"AM6",-48.8524504361618
"AM7",-45.7510534124629
"AM8",-43.5267956469166
"AM9",-44.9229398663697
"AMA",-44.1058682634731
"AMC",-47.0673684210526
"AMD",-43.079806501548
"AMH",-46.871037593985
"AMK",-48.9057633587786
"AMN",-48.2482262210797
"AMR",-42.0372233400402
"AMW",-45.1797877179682
"AMY",-45.3130879600749
"AN0",-48.3184297520661
"AN2",-44.9303377218088
"AN3",-48.7438191281718
"AN4",-47.330922459893
"AN5",-50.3510344827586
"AN9",-46.3764975450082
"ANA",-49.5390372940156
"ANB",-48.4168192771084
"ANC",-44.6648119122257
"AND",-46.362607855763
"ANF",-44.3372797161443
"ANJ",-50.6849700598802
"ANK",-42.5932373761208
"ANM",-43.5470564516129
"ANP",-47.7433676975945
"ANR",-53.1782392586352
"ANS",-58.1903125
"ANT",-48.1286862745098
"ANU",-46.003764575236
"AP0",-47.981564171123
"AP1",-48.3537539432177
"AP5",-46.5672074468085
"AP6",-44.0203
"AP7",-46.723
"AP8",-43.1743181818182
"APC",-41.1592589508743
"APD",-47.8935761589404
"APE",-49.3045851528384
"APJ",-43.48828125
"APK",-46.6796231493943
"APL",-43.7400328947368
"APN",-51.5773449319213
"APP",-49.4252815013405
"APS",-53.2202747252747
"APT",-42.5945079787234
"APX",-46.2490527119939
"AR0",-47.6137662337662
"AR4",-46.6504545454545
"AR7",-45.6781403044342
"AR8",-45.3751979345955
"AR9",-46.9988700234192
"ARA",-43.5368326693227
"ARB",-41.3850038431975
"ARC",-48.3964968152866
"ARD",-53.6037017310253
"ARE",-42.7953139643861
"ARJ",-43.5693114754098
"ARM",-39.6347058823529
"ARP",-43.4864721845319
"ART",-43.1220247022497
"ARW",-46.0266666666667
"ARX",-48.4246835443038
"AS3",-47.5941327489042
"AS5",-50.3827272727273
"AS6",-49.7316907775769
"ASA",-42.8675490196078
"ASB",-48.5139059779454
"ASC",-48.0679723837209
"ASF",-48.8689973614776
"ASH",-45.1624912587413
"ASJ",-46.7974300254453
"ASK",-47.6622942502818
"ASU",-50.9261205073996
"ASV",-40.4502131637996
"ASW",-48.1179223433243
"ASY",-49.5084552845528
"AT1",-43.3072209138012
"AT3",-41.4182476635514
"AT6",-44.938
"AT8",-48.3814771048744
"ATA",-48.3119293286219
"ATG",-49.7749805447471
"AYJ",-45.4233333333333
"AYM",-43.4895589558956
"AYP",-45.8642710049423
"AYR",-45.4695205479452
"AYX",-43.7887540983607
"B01",-47.474
"B03",-45.5972212065814
"B04",-47.3740998766954
"B06",-43.6692998396579
"B08",-48.1231916285154
"B09",-44.3300129617628
"B0A",-47.921061452514
"B0H",-47.0074062692071
"B0J",-51.7
"B0L",-46.5697742946708
"B0N",-47.1801363918165
"B0P",-47.7139669421488
"B0R",-52.055241187384
"B0S",-47.0935813953488
"B0U",-40.6268338557994
"B0W",-53.289262295082
"B0Y",-41.8608476517755
"B11",-48.6113670411985
"B12",-47.450862745098
"B13",-46.4721278941566
"B17",-47.4786505681818
"B1A",-44.7864705882353
"B1D",-50.2799230230931
"B1E",-51.2830139103555
"B1H",-41.0542501802451
"B1K",-53.416976744186
"B1L",-46.9526763717805
"B1N",-43.684192513369
"B1P",-49.5429079497908
"B1S",-40.9536170212766
"B1T",-53.8181929046563
"B1U",-46.3861636363636
"B1W",-45.738207217695
"B1Y",-43.5378630705394
"B22",-47.6413738601824
"B23",-47.581293768546
"B24",-41.1520834819836
"B25",-50.5720571010249
"B27",-46.0811280487805
"B28",-48.9357201929704
"B29",-45.0313180515759
"B2A",-47.2848992890995
"B2B",-48.2668292682927
"B2D",-55.9135661764706
"B2E",-41.9802429906542
"B2F",-44.5858470290771
"B2H",-56.2544554455446
"B2L",-50.1221323529412
"B2P",-47.1596914700544
"B2S",-47.2854534815682
"B2T",-48.2741672623302
"B2U",-45.3349929577465
"B2V",-45.2354368932039
"B2W",-50.0567660550459
"B2Y",-45.7051531728665
"B30",-45.9052097683156
"B31",-46.9325755743652
"B32",-43.0473070947696
"B33",-42.5183435582822
"B34",-44.3157704402516
"B35",-43.1989032258064
"B39",-44.7594117647059
"B3A",-47.3592372881356
"B3B",-49.9087326732673
"B3C",-47.8023784722222
"B3F",-48.6735643564356
"B3G",-48.0407709251101
"B3H",-47.9856370302475
"B3K",-45.0803833515882
"BLY",-49.1747131147541
"BM1",-46.456
"BM4",-45.229632408102
"BM5",-47.1752966404575
"BM9",-49.6503940886699
"BMA",-49.8940676691729
"BMB",-43.4646762589928
"BMC",-49.8427558257345
"BMD",-44.9767648605997
"BMF",-45.3903490759754
"BMJ",-54.3355737704918
"BML",-46.5706772422209
"BMM",-42.8189577228966
"BMP",-48.5436333333333
"BMV",-52.0891621411947
"BN2",-50.1383683828861
"BN3",-40.4012151796528
"BN5",-44.7586878980892
"BN7",-43.5812987012987
"BN8",-49.5722813688213
"BN9",-47.2765576592083
"BNB",-54.5244696969697
"BNE",-52.1325277777778
"BNG",-42.6391924227318
"BNH",-45.800985915493
"BNJ",-42.9524941724942
"BNK",-45.5696604414261
"BNN",-46.1590331491713
"BNU",-44.6590652818991
"BNV",-47.6511238095238
"BNW",-48.7282954545455
"BNX",-43.3502023121387
"BNY",-44.6474652777778
"BP3",-43.9982857142857
"BP4",-48.6433822181485
"BP5",-53.2292788461538
"BP6",-41.603700234192
"BPB",-44.6538752196837
