"","features","rank_in_american","rank_in_british","difference"
"2212","counterculture",20,NA,NA
"2213","counterpart",2244,2742,498
"2214","counterparts",3727,3630,97
"2215","counting",5071,1840,3231
"2216","countless",2947,360,2587
"2217","countries",9346,9559,213
"2218","country",9710,9756,46
"2219","country's",8622,7819,803
"2220","counts",6317,5695,622
"2221","county",6426,9169,2743
"2222","coup",6768,6482,286
"2223","couple",9140,8792,348
"2224","couple's",713,NA,NA
"2225","couples",6822,5359,1463
"2226","courage",5919,5583,336
"2227","courageous",1655,NA,NA
"2228","course",9797,9817,20
"2229","courses",4152,9000,4848
"2230","court",9600,9811,211
"2231","court's",5927,1702,4225
"2232","courtesy",5626,3324,2302
"2233","courthouse",919,NA,NA
"2234","courtney",2275,NA,NA
"2235","courtroom",3532,NA,NA
"2236","courts",7872,8785,913
"2237","cousin",4022,3149,873
"2238","cover",9737,9111,626
"2239","cover-up",3667,NA,NA
"2240","coverage",9407,6521,2886
"2241","covered",7999,8533,534
"2242","covering",6647,7048,401
"2243","covers",7488,6668,820
"2244","cow",4076,1336,2740
"2245","cowboy",2321,NA,NA
"2246","cows",425,2028,1603
"2247","cox",1997,1549,448
"2248","crack",7050,4281,2769
"2249","crackdown",2901,NA,NA
"2250","cracking",1507,NA,NA
"2251","craft",2896,6151,3255
"2252","craig",1859,4292,2433
"2253","crap",3519,NA,NA
"2254","crash",8327,6565,1762
"2255","crashed",2081,4257,2176
"2256","crashes",3262,NA,NA
"2257","crashing",1021,NA,NA
"2258","crazy",7582,3494,4088
"2259","cream",3293,6918,3625
"2260","create",8763,8867,104
"2261","created",8755,8949,194
"2262","creates",5652,5016,636
"2263","creating",7476,7544,68
"2264","creation",7208,8104,896
"2265","creative",6821,6819,2
"2266","creativity",1265,3261,1996
"2267","creator",3439,NA,NA
"2268","creature",3417,1000,2417
"2269","creatures",3614,3060,554
"2270","credentials",2750,NA,NA
"2271","credibility",7948,3857,4091
"2272","credible",5170,NA,NA
"2273","credit",9182,8917,265
"2274","credited",3784,783,3001
"2275","credits",5856,2934,2922
"2276","creep",2230,NA,NA
"2277","creepy",3973,NA,NA
"2278","crew",6192,7031,839
"2279","crews",1556,4317,2761
"2280","cries",2367,NA,NA
"2281","crime",9281,8876,405
"2282","crimes",8500,6142,2358
"2283","criminal",8586,8508,78
"2284","criminals",6836,3159,3677
"2285","crippled",1970,NA,NA
"2286","crises",3330,1731,1599
"2287","crisis",9246,8698,548
"2288","criteria",4262,7452,3190
"2289","criterion",434,3717,3283
"2290","critic",8339,4574,3765
"2291","critical",8325,8409,84
"2292","criticism",8550,8280,270
"2293","criticisms",4499,4599,100
"2294","criticize",5038,NA,NA
"2295","criticized",7189,4350,2839
"2296","criticizes",3755,NA,NA
"2297","criticizing",5097,NA,NA
"2298","critics",9699,7268,2431
"2299","critique",6249,3878,2371
"2300","crop",2328,4753,2425
"2301","crops",747,4424,3677
"2302","cross",6725,8535,1810
"2303","crossed",4513,5384,871
"2304","crossfire",3398,NA,NA
"2305","crossing",1780,6046,4266
"2306","crowd",7579,7497,82
"2307","crowded",1850,3012,1162
"2308","crowds",3058,4363,1305
"2309","crowley",213,NA,NA
"2310","crown",4058,8460,4402
"2311","crucial",7243,8117,874
"2312","crude",5576,4009,1567
"2313","cruel",5915,2377,3538
"2314","cruise",5480,3270,2210
"2315","crusade",3503,827,2676
"2316","crush",3154,NA,NA
"2317","crushed",1610,2629,1019
"2318","crushing",253,NA,NA
"2319","cry",6282,5380,902
"2320","crying",4146,2759,1387
"2321","crystal",2471,5152,2681
"2322","cuba",6596,2879,3717
"2323","cuban",5288,793,4495
"2324","culpa",1852,NA,NA
"2325","cult",6120,3132,2988
"2326","cultivated",825,894,69
"2327","cultural",8994,8804,190
"2328","culturally",1169,NA,NA
"2329","culture",9455,9013,442
"2330","cultures",3016,5180,2164
"2331","cuomo",1132,NA,NA
"2332","cup",6739,9268,2529
"2333","cure",5505,4488,1017
"2334","curiosity",2763,984,1779
"2335","curious",7032,4958,2074
"2336","curiously",2891,282,2609
"2337","currencies",3245,3434,189
"2338","currency",8148,7950,198
"2339","current",9556,9344,212
"2340","currently",8537,8654,117
"2341","curriculum",3263,8647,5384
"2342","currie",6493,NA,NA
"2343","curse",3416,NA,NA
"2344","curve",5360,6315,955
"2345","custody",2988,5724,2736
"2346","custom",1088,4833,3745
"2347","customer",5688,7960,2272
"2348","customers",8059,8574,515
"2349","customs",963,6705,5742
"2350","cut",9492,9373,119
"2351","cute",5460,NA,NA
"2352","cuts",9027,7876,1151
"2353","cutting",7822,7344,478
"2354","cyberspace",5649,NA,NA
"2355","cycle",6939,6740,199
"2356","cynical",7293,1185,6108
"2357","cynicism",5756,NA,NA
"2358","cynics",2599,NA,NA
"2359","czech",3577,2875,702
"2360","d",8026,9720,1694
"2361","d.c",8390,NA,NA
"2362","d'amato",4582,NA,NA
"2363","dad",7194,6126,1068
"2364","daddy",2171,NA,NA
"2365","dailies",4628,NA,NA
"2366","daily",9512,8794,718
"2367","dairy",269,1678,1409
"2368","dakota",1792,NA,NA
"2369","dalai",5070,NA,NA
"2370","dale",1975,1473,502
"2371","dallas",5429,NA,NA
"2372","damage",8132,8871,739
"2373","damaged",3903,6775,2872
"2374","damages",4474,7076,2602
"2375","damaging",4899,5209,310
"2376","damn",6126,NA,NA
"2377","damned",4364,NA,NA
"2378","damning",1832,NA,NA
"2379","dan",7991,811,7180
"2380","dance",7940,7686,254
"2381","dancing",4935,5614,679
"2382","danger",7385,8200,815
"2383","dangerous",8391,8012,379
"2384","dangerously",2644,NA,NA
"2385","dangers",3996,5497,1501
"2386","daniel",8161,4417,3744
"2387","danny",1382,763,619
"2388","dare",3557,2929,628
"2389","daring",3435,NA,NA
"2390","dark",8670,8230,440
"2391","darker",1435,NA,NA
"2392","darkness",3917,4188,271
"2393","darwinian",877,NA,NA
"2394","daschle",744,NA,NA
"2395","data",8827,9089,262
"2396","database",3462,3744,282
"2397","date",8629,9580,951
"2398","dated",3381,5801,2420
"2399","dates",5757,6877,1120
"2400","dating",5474,4653,821
"2401","daughter",8783,8756,27
"2402","daughter's",2619,NA,NA
"2403","daughters",5167,6242,1075
"2404","dave",4504,6421,1917
"2405","david",9661,9434,227
"2406","davis",8068,5004,3064
"2407","dawkins",494,NA,NA
"2408","dawn",6246,4999,1247
"2409","day",9819,9861,42
"2410","day-care",38,NA,NA
"2411","day's",5834,4560,1274
"2412","days",9709,9726,17
"2413","daytime",7287,NA,NA
"2414","dazzling",1752,NA,NA
"2415","de",8959,9422,463
"2416","dead",9303,8705,598
"2417","deadline",5000,3452,1548
"2418","deadly",4988,1146,3842
"2419","deal",9635,9474,161
"2420","dealer",4347,6108,1761
"2421","dealers",3857,6303,2446
"2422","dealing",6448,8423,1975
"2423","dealings",227,3497,3270
"2424","deals",6826,6778,48
"2425","dealt",1415,7415,6000
"2426","dean",6567,5994,573
"2427","dear",9634,7254,2380
"2428","death",9718,9525,193
"2429","deaths",7789,6052,1737
"2430","debacle",887,NA,NA
"2431","debate",9447,8865,582
"2432","debated",4763,1778,2985
"2433","debates",7054,4862,2192
"2434","debating",2987,NA,NA
"2435","deborah",968,NA,NA
"2436","debt",8191,8568,377
"2437","debts",2166,6402,4236
"2438","debut",4836,6164,1328
"2439","dec",8552,7956,596
"2440","decade",8759,7797,962
"2441","decades",8720,6834,1886
"2442","decay",687,1763,1076
"2443","deceased",2342,1859,483
"2444","december",6299,9156,2857
"2445","decency",4365,NA,NA
"2446","decent",6789,4584,2205
"2447","decide",8337,8467,130
"2448","decided",8989,9297,308
"2449","decidedly",1023,NA,NA
"2450","decides",4986,2964,2022
"2451","deciding",5135,6006,871
"2452","decision",9532,9554,22
"2453","decisions",7983,8893,910
"2454","decisive",3431,4773,1342
"2455","deck",2615,2805,190
"2456","declaration",5077,6589,1512
"2457","declare",6057,2855,3202
"2458","declared",8437,8089,348
"2459","declares",5510,NA,NA
"2460","declaring",5403,1874,3529
"2461","decline",8227,8258,31
"2462","declined",7028,6287,741
"2463","declines",482,NA,NA
"2464","declining",5347,4403,944
"2465","decrease",974,2412,1438
"2466","dedicated",4876,5825,949
"2467","deemed",6765,5439,1326
"2468","deems",109,NA,NA
"2469","deep",9002,8506,496
"2470","deeper",6372,4690,1682
"2471","deeply",7959,6881,1078
"2472","defeat",7806,7936,130
"2473","defeated",5244,6066,822
"2474","defend",7786,6101,1685
"2475","defendant",2130,7634,5504
"2476","defendants",2209,6171,3962
"2477","defended",5108,3830,1278
"2478","defender",560,5157,4597
"2479","defenders",5722,2235,3487
"2480","defending",6902,4873,2029
"2481","defends",4280,NA,NA
"2482","defense",9448,NA,NA
"2483","defenses",1725,NA,NA
"2484","defensive",1691,4430,2739
"2485","defiance",2151,NA,NA
"2486","deficit",7836,7059,777
"2487","deficits",3683,NA,NA
"2488","define",6068,6196,128
"2489","defined",6226,8272,2046
"2490","defines",2277,1100,1177
"2491","defining",3891,3699,192
"2492","definitely",6028,5722,306
"2493","definition",7641,7986,345
"2494","definitive",3949,299,3650
"2495","degas",5642,NA,NA
"2496","degree",7570,9085,1515
"2497","degrees",6405,6813,408
"2498","delay",7797,7083,714
"2499","delayed",3769,5172,1403
"2500","delegates",1186,5692,4506
"2501","delegation",2141,5939,3798
"2502","deliberate",4107,4412,305
"2503","deliberately",5897,6172,275
"2504","delicate",3587,4512,925
"2505","delicious",1941,3208,1267
"2506","delight",4489,5037,548
"2507","delighted",3180,6681,3501
"2508","delightful",3039,3708,669
"2509","deliver",6865,5806,1059
"2510","delivered",7062,6981,81
"2511","delivering",3003,2319,684
"2512","delivers",3914,NA,NA
"2513","delivery",7883,7582,301
"2514","dell",1433,NA,NA
"2515","della",4976,NA,NA
"2516","delta",2153,NA,NA
"2517","demand",8636,9317,681
"2518","demanded",6128,6879,751
"2519","demanding",7162,6550,612
"2520","demands",7490,8525,1035
"2521","demise",3196,2260,936
"2522","democracy",8836,8252,584
"2523","democrat",7683,4444,3239
"2524","democratic",9577,8815,762
"2525","democrats",9551,6698,2853
"2526","demographic",3926,2733,1193
"2527","demonstrate",5686,6442,756
"2528","demonstrated",5120,6674,1554
"2529","demonstrates",5364,3489,1875
"2530","demonstrating",1195,1779,584
"2531","demonstration",4187,5991,1804
"2532","demonstrations",537,5683,5146
"2533","demonstrators",1887,3435,1548
"2534","denby",3005,NA,NA
"2535","denial",6484,1847,4637
"2536","denials",3201,NA,NA
"2537","denied",8147,7767,380
"2538","denies",5703,2767,2936
"2539","dennis",6294,4329,1965
"2540","denominator",7391,NA,NA
"2541","denounce",554,NA,NA
"2542","denounced",4671,1735,2936
"2543","denouncing",1158,NA,NA
"2544","dense",78,488,410
"2545","dentist",505,NA,NA
"2546","dentists",1373,NA,NA
"2547","denver",2939,NA,NA
"2548","deny",7402,5751,1651
"2549","denying",5482,1529,3953
"2550","department",9433,9574,141
"2551","department's",4150,NA,NA
"2552","departments",4211,8049,3838
"2553","departure",5827,6540,713
"2554","depend",4770,7227,2457
"2555","depended",509,4344,3835
"2556","dependence",2432,4397,1965
"2557","dependent",4227,7449,3222
"2558","depending",4785,6474,1689
"2559","depends",7600,7608,8
"2560","depict",1774,NA,NA
"2561","depicted",4074,1166,2908
"2562","depicting",1914,NA,NA
"2563","depiction",2064,NA,NA
"2564","depicts",4734,NA,NA
"2565","deplores",1420,NA,NA
"2566","deployed",2268,1875,393
"2567","deployment",2030,1656,374
"2568","deposition",6108,NA,NA
"2569","depressed",4541,4646,105
"2570","depressing",2203,1024,1179
"2571","depression",7115,6154,961
"2572","dept",546,NA,NA
"2573","depth",4006,6692,2686
"2574","deputy",6754,8136,1382
"2575","deregulation",1449,256,1193
"2576","derived",4235,6818,2583
"2577","descent",2365,3574,1209
"2578","describe",8021,7535,486
"2579","described",8932,9364,432
"2580","describes",8968,6803,2165
"2581","describing",7285,5714,1571
"2582","description",7182,7946,764
"2583","descriptions",4799,4842,43
"2584","desegregation",173,NA,NA
"2585","desert",5175,5547,372
"2586","deserve",6646,3671,2975
"2587","deserved",3233,3053,180
"2588","deserves",6949,3156,3793
"2589","design",8087,9302,1215
"2590","designated",2903,4662,1759
"2591","designed",8795,9107,312
"2592","designer",5183,5567,384
"2593","designers",4314,3272,1042
"2594","designs",3252,7185,3933
"2595","desirable",4485,6180,1695
"2596","desire",8160,7935,225
"2597","desired",550,5086,4536
"2598","desires",1722,1039,683
"2599","desk",5418,5010,408
"2600","desktop",613,293,320
"2601","despair",3430,3444,14
"2602","desperate",6731,5944,787
"2603","desperately",5095,4323,772
"2604","desperation",1921,NA,NA
"2605","despised",721,NA,NA
"2606","despite",9463,9427,36
"2607","destination",1263,3519,2256
"2608","destiny",1617,252,1365
"2609","destroy",6991,5344,1647
"2610","destroyed",6550,7054,504
"2611","destroying",4133,1934,2199
"2612","destruction",6808,6319,489
"2613","destructive",3012,1428,1584
"2614","detachment",731,NA,NA
"2615","detail",8425,8309,116
"2616","detailed",6548,8490,1942
"2617","detailing",1945,NA,NA
"2618","details",9074,9160,86
"2619","detect",1131,1572,441
"2620","detective",3957,4159,202
"2621","deter",2312,774,1538
"2622","determination",2821,6946,4125
"2623","determine",7057,7400,343
"2624","determined",7597,8608,1011
"2625","determining",957,5408,4451
"2626","deterrent",276,1785,1509
"2627","detractors",2460,NA,NA
"2628","detroit",3687,NA,NA
"2629","devastating",3599,2344,1255
"2630","develop",7097,8850,1753
"2631","developed",7689,9208,1519
"2632","developers",2391,1972,419
"2633","developing",6793,8376,1583
"2634","development",8847,9779,932
"2635","developments",5549,8396,2847
"2636","device",6675,6143,532
"2637","devices",5760,5358,402
"2638","devil",4527,1035,3492
"2639","devise",569,675,106
"2640","devised",2630,4757,2127
"2641","devote",2880,1038,1842
"2642","devoted",8159,6780,1379
"2643","devotes",404,NA,NA
"2644","devotion",3328,111,3217
"2645","di",3908,4199,291
"2646","diagnosis",2558,1479,1079
"2647","dialogue",8224,5730,2494
"2648","diamond",5032,2869,2163
"2649","diana",7816,6670,1146
"2650","diana's",4381,NA,NA
"2651","diane",3230,NA,NA
"2652","diaries",890,588,302
"2653","diary",6704,5467,1237
"2654","diaz",3314,NA,NA
"2655","dick",8170,4503,3667
"2656","dickens",1738,789,949
"2657","dictate",2488,NA,NA
"2658","dictator",5451,NA,NA
"2659","dictatorship",1550,43,1507
"2660","dictionaries",136,NA,NA
"2661","dictionary",5291,4900,391
"2662","did",9887,9893,6
"2663","didn't",9791,NA,NA
"2664","die",8494,7327,1167
"2665","died",8991,9301,310
"2666","diego",1716,NA,NA
"2667","dies",3873,3358,515
"2668","diet",6031,7521,1490
"2669","differ",4438,5162,724
"2670","difference",9029,8933,96
"2671","differences",7757,8750,993
"2672","different",9631,9831,200
"2673","differently",4622,4387,235
"2674","difficult",8803,9572,769
"2675","difficulties",4695,8720,4025
"2676","difficulty",4108,8357,4249
"2677","dig",3383,1774,1609
"2678","digenova",1141,NA,NA
"2679","digest",827,NA,NA
"2680","digital",7111,2422,4689
"2681","dignity",5810,3422,2388
"2682","dilemma",5677,3722,1955
"2683","dim",1013,NA,NA
"2684","dimension",2621,5417,2796
"2685","dimensions",1495,4278,2783
"2686","diminish",655,NA,NA
"2687","diminished",2003,1955,48
"2688","dining",1091,4702,3611
"2689","dinner",8278,7594,684
"2690","diplomacy",4747,1657,3090
"2691","diplomat",1570,NA,NA
"2692","diplomatic",6967,6688,279
"2693","diplomats",2900,1584,1316
"2694","dire",469,NA,NA
"2695","direct",8397,9246,849
"2696","directed",7215,7429,214
"2697","directing",2333,892,1441
"2698","direction",7531,8613,1082
"2699","directions",3772,5757,1985
"2700","directly",8532,8836,304
"2701","director",9369,9362,7
"2702","directors",5829,8253,2424
"2703","dirt",4687,354,4333
"2704","dirty",7070,5192,1878
"2705","disability",2190,5733,3543
"2706","disabled",3807,7678,3871
"2707","disagree",7110,1421,5689
"2708","disagreed",480,NA,NA
"2709","disagreement",1569,2438,869
"2710","disagrees",1528,NA,NA
"2711","disappear",4166,3363,803
"2712","disappeared",3566,6254,2688
"2713","disappointed",5659,5763,104
"2714","disappointing",4248,3785,463
"2715","disappointment",3455,4395,940
"2716","disaster",7984,6824,1160
"2717","disasters",1434,NA,NA
"2718","disastrous",5003,3880,1123
"2719","discipline",5680,8649,2969
"2720","disclaimer",5352,NA,NA
"2721","disclose",2020,2682,662
"2722","disclosed",2196,3918,1722
"2723","disclosure",7014,4668,2346
"2724","disco",1304,2280,976
"2725","discomfort",383,NA,NA
"2726","discount",4480,6582,2102
"2727","discourage",4367,NA,NA
"2728","discourse",2551,7045,4494
"2729","discover",5977,6830,853
"2730","discovered",7995,8190,195
"2731","discovering",2453,971,1482
"2732","discovers",1515,NA,NA
"2733","discovery",6925,6541,384
"2734","discredited",137,NA,NA
"2735","discretion",5804,6460,656
"2736","discriminate",1972,NA,NA
"2737","discrimination",7671,6358,1313
"2738","discuss",7921,8267,346
"2739","discussed",7100,8626,1526
"2740","discussing",6221,5526,695
"2741","discussion",8897,8866,31
"2742","discussions",5209,7385,2176
"2743","disdain",2910,NA,NA
"2744","disease",8517,7929,588
"2745","diseases",4413,4208,205
"2746","disgruntled",25,NA,NA
"2747","disguise",592,524,68
"2748","disguised",1030,NA,NA
"2749","disgust",1853,NA,NA
"2750","disgusting",210,NA,NA
"2751","dish",3548,4356,808
"2752","dishes",2075,4385,2310
"2753","dishonest",1818,NA,NA
"2754","disingenuous",667,NA,NA
"2755","disk",1609,NA,NA
"2756","dislike",3121,1620,1501
"2757","dismal",2718,NA,NA
"2758","dismiss",6205,2638,3567
"2759","dismissal",4361,5881,1520
"2760","dismissed",6960,7325,365
"2761","dismisses",1779,NA,NA
"2762","disney",8015,679,7336
"2763","disney's",4124,NA,NA
"2764","disorder",4858,5490,632
"2765","disorders",566,1816,1250
"2766","dispatch",5533,NA,NA
"2767","dispatches",4581,NA,NA
"2768","displaced",385,549,164
"2769","display",7552,8283,731
"2770","displayed",4827,6048,1221
"2771","displaying",1151,NA,NA
"2772","displays",4393,5372,979
"2773","dispute",7171,7630,459
"2774","disputed",1400,2180,780
"2775","disputes",4208,5982,1774
"2776","disregard",1560,NA,NA
"2777","dissent",3509,1543,1966
"2778","dissenting",1238,NA,NA
"2779","dissident",704,NA,NA
"2780","dissidents",1163,NA,NA
"2781","distance",7319,8039,720
"2782","distant",5604,5824,220
"2783","distinct",5066,7017,1951
"2784","distinction",7001,7926,925
"2785","distinctions",3568,2511,1057
"2786","distinctive",2564,6423,3859
"2787","distinguish",4560,5688,1128
"2788","distinguished",5363,6648,1285
"2789","distorted",2392,1358,1034
"2790","distract",1607,NA,NA
"2791","distracted",1931,NA,NA
"2792","distraction",2340,NA,NA
"2793","distress",559,4057,3498
"2794","distribute",2450,NA,NA
"2795","distributed",2982,5602,2620
"2796","distribution",6048,8333,2285
"2797","district",7722,8796,1074
"2798","districts",3597,5827,2230
"2799","distrust",794,NA,NA
"2800","disturbed",196,3868,3672
"2801","disturbing",5885,3203,2682
"2802","ditto",561,NA,NA
"2803","dive",1426,482,944
"2804","diverse",2012,4830,2818
"2805","diversity",4693,4727,34
"2806","divide",5280,5174,106
"2807","divided",6656,7783,1127
"2808","dividends",2374,4526,2152
"2809","divine",2790,2675,115
"2810","division",6609,9037,2428
"2811","divisions",3220,6644,3424
"2812","divorce",7765,6007,1758
"2813","divorced",4209,3023,1186
"2814","dna",6956,NA,NA
"2815","dnc",5888,NA,NA
"2816","do",9935,9937,2
"2817","dobson",1525,NA,NA
"2818","doctor",7591,8152,561
"2819","doctors",8642,7659,983
"2820","doctrine",5074,5620,546
"2821","document",7283,8079,796
"2822","documentary",6380,3534,2846
"2823","documents",7885,7989,104
"2824","dodge",1379,NA,NA
"2825","doe",14,782,768
"2826","does",9878,9857,21
"2827","doesn't",9833,NA,NA
"2828","dog",8462,8109,353
"2829","dogma",3664,NA,NA
"2830","dogs",7696,7363,333
"2831","doing",9553,9406,147
"2832","dole",9316,377,8939
"2833","dole's",6985,NA,NA
"2834","doll",2083,NA,NA
"2835","dollar",8090,6557,1533
"2836","dollars",8812,5017,3795
"2837","dolls",1613,NA,NA
"2838","dolly",690,NA,NA
"2839","domain",3209,2565,644
"2840","dome",935,338,597
"2841","domestic",8576,8833,257
"2842","dominance",3413,4378,965
"2843","dominant",5178,7297,2119
"2844","dominate",5663,3605,2058
"2845","dominated",6640,7156,516
"2846","dominates",2282,NA,NA
"2847","domination",2223,3910,1687
"2848","don",7000,5293,1707
"2849","don't",9899,NA,NA
"2850","donald",6724,4365,2359
"2851","donaldson",3829,729,3100
"2852","donate",280,NA,NA
"2853","donated",3621,2545,1076
"2854","donation",1854,1687,167
"2855","donations",6630,2594,4036
"2856","done",9560,9591,31
"2857","donna",2246,NA,NA
"2858","donor",3745,724,3021
"2859","donors",6800,NA,NA
"2860","doomed",5396,251,5145
"2861","door",8412,8734,322
"2862","doors",5276,7046,1770
"2863","double",7967,8665,698
"2864","doubled",4293,4448,155
"2865","doubt",8970,9026,56
"2866","doubts",5924,5755,169
"2867","doug",2194,16,2178
"2868","douglas",5127,6320,1193
"2869","dove",426,NA,NA
"2870","dow",7532,NA,NA
"2871","dowd",6471,NA,NA
"2872","down",9838,9873,35
"2873","download",6360,NA,NA
"2874","downside",886,NA,NA
"2875","downsizing",1421,NA,NA
"2876","downtown",4729,NA,NA
"2877","downturn",63,NA,NA
"2878","downward",1130,606,524
"2879","dozen",7625,5747,1878
"2880","dozens",6857,2514,4343
"2881","dr",8324,9185,861
"2882","draft",6073,7431,1358
"2883","drafted",2208,2697,489
"2884","drag",4713,1396,3317
"2885","dragged",2583,2766,183
"2886","dragging",1808,NA,NA
"2887","drama",7743,7754,11
"2888","dramatic",7820,7808,12
"2889","dramatically",5444,4970,474
"2890","drank",464,NA,NA
"2891","draw",7785,8593,808
"2892","drawing",7554,7995,441
"2893","drawings",2922,6809,3887
"2894","drawn",7281,8625,1344
"2895","draws",5632,4454,1178
"2896","dread",400,NA,NA
"2897","dream",8166,7236,930
"2898","dreamed",848,NA,NA
"2899","dreams",6494,5521,973
"2900","dress",8311,6801,1510
"2901","dressed",4917,5875,958
"2902","dresses",3228,NA,NA
"2903","drew",6715,6993,278
"2904","drift",1687,2488,801
"2905","drink",7520,7753,233
"2906","drinking",6810,6514,296
"2907","drinks",4903,5223,320
"2908","drive",8799,8507,292
"2909","driven",7465,6714,751
"2910","driver",6310,7877,1567
"2911","drivers",5744,6826,1082
"2912","drives",5226,2521,2705
"2913","driving",7966,8262,296
"2914","drop",8588,7515,1073
"2915","dropped",8174,7572,602
"2916","dropping",4681,3124,1557
"2917","drops",4253,3313,940
"2918","drove",5424,6096,672
"2919","drudge",7004,NA,NA
"2920","drug",9436,7981,1455
"2921","drugs",9041,7985,1056
"2922","drum",1735,2659,924
"2923","drunk",5487,3938,1549
"2924","drunken",2048,NA,NA
"2925","dry",6425,7890,1465
"2926","du",4866,4696,170
"2927","dubbed",3002,NA,NA
"2928","dubious",6541,1151,5390
"2929","duck",3974,3168,806
"2930","due",8384,9392,1008
"2931","dues",2492,NA,NA
"2932","dukakis",3721,NA,NA
"2933","duke",4518,7210,2692
"2934","dull",5515,4155,1360
"2935","dumb",6555,810,5745
"2936","dump",4197,NA,NA
"2937","dumped",2092,1270,822
"2938","dumping",1403,NA,NA
"2939","dung",160,NA,NA
"2940","dunlap",4505,NA,NA
"2941","dunne",898,NA,NA
"2942","during",9772,9849,77
"2943","dust",3787,5014,1227
"2944","dutch",6101,6651,550
"2945","duties",3766,7790,4024
"2946","duty",6753,8875,2122
"2947","dwell",2159,NA,NA
"2948","dying",7303,5605,1698
"2949","dylan",6165,NA,NA
"2950","dynamic",3813,5440,1627
"2951","dynamics",955,NA,NA
"2952","dynasty",669,NA,NA
"2953","e",8344,8745,401
"2954","e-mail",9513,NA,NA
"2955","e-mailed",2212,NA,NA
"2956","e.g",6871,8119,1248
"2957","each",9766,9869,103
"2958","eager",6841,3565,3276
"2959","eagerly",1346,NA,NA
"2960","eagle",318,3000,2682
"2961","ear",5668,4966,702
"2962","earl",3645,6524,2879
"2963","earlier",9253,9468,215
"2964","earliest",2036,6009,3973
"2965","early",9646,9794,148
"2966","earn",6566,5953,613
"2967","earned",7323,6291,1032
"2968","earnest",5084,191,4893
"2969","earning",4180,4186,6
"2970","earnings",7768,7537,231
"2971","earns",1418,NA,NA
"2972","ears",3879,4621,742
"2973","earth",8581,7738,843
"2974","earthquake",4143,NA,NA
"2975","ease",6072,6627,555
"2976","easier",8165,8003,162
"2977","easily",8404,8812,408
"2978","east",9320,9583,263
"2979","eastern",7489,8564,1075
"2980","eastwood",2693,NA,NA
"2981","easy",9207,9236,29
"2982","eat",8355,7532,823
"2983","eaten",2349,2829,480
"2984","eating",7440,6908,532
"2985","ebert",5575,NA,NA
"2986","eccentric",3131,294,2837
"2987","echo",3130,4912,1782
"2988","echoes",3822,NA,NA
"2989","economic",9679,9750,71
"2990","economically",2894,3804,910
"2991","economics",8685,7446,1239
"2992","economies",6444,6445,1
"2993","economist",8625,2668,5957
"2994","economists",8382,3824,4558
"2995","economy",9582,9335,247
"2996","economy's",1166,NA,NA
"2997","ed",6136,5452,684
"2998","eddie",1892,3900,2008
"2999","edelstein",4756,NA,NA
"3000","edgar",4554,NA,NA
"3001","edge",7265,8131,866
"3002","edges",539,4381,3842
"3003","edit",862,NA,NA
"3004","edited",4657,3949,708
"3005","editing",4340,936,3404
"3006","edition",8997,6718,2279
"3007","editions",2682,2540,142
"3008","editor",9308,7484,1824
"3009","editor's",2800,NA,NA
"3010","editorial",9703,4174,5529
"3011","editorialists",2269,NA,NA
"3012","editorials",3975,NA,NA
"3013","editors",9210,2556,6654
"3014","edmund",5119,1764,3355
"3015","educated",5023,6273,1250
"3016","education",9347,9763,416
"3017","educational",6110,8638,2528
"3018","edward",6503,8203,1700
"3019","edwards",571,5260,4689
"3020","eerie",245,NA,NA
"3021","effect",9277,9629,352
"3022","effective",8662,9071,409
"3023","effectively",6842,8181,1339
"3024","effectiveness",2519,6346,3827
"3025","effects",8534,9004,470
"3026","efficiency",5544,7579,2035
"3027","efficient",6732,7543,811
"3028","efficiently",362,3416,3054
"3029","effort",9068,8596,472
"3030","efforts",8930,8429,501
"3031","egg",4748,5385,637
"3032","eggs",5416,6422,1006
"3033","ego",3395,NA,NA
"3034","egypt",4575,6262,1687
"3035","egyptair",1383,NA,NA
"3036","egyptian",4256,3601,655
"3037","ehud",3301,NA,NA
"3038","eight",8571,9167,596
"3039","eighth",1440,4494,3054
"3040","einstein",1689,NA,NA
"3041","eisenhower",818,NA,NA
"3042","eisner",2136,NA,NA
"3043","either",9586,9640,54
"3044","el",7177,5127,2050
"3045","elaborate",5698,4960,738
"3046","elaine",1,NA,NA
"3047","elder",1517,4332,2815
"3048","elderly",5908,8167,2259
"3049","eleanor",6200,NA,NA
"3050","elect",1781,718,1063
"3051","elected",8164,8627,463
"3052","election",9509,9312,197
"3053","elections",8737,8803,66
"3054","electoral",5400,6954,1554
"3055","electorate",4168,4819,651
"3056","electric",6191,6614,423
"3057","electricity",3711,7320,3609
"3058","electronic",7220,6399,821
"3059","electronics",532,3960,3428
"3060","elegance",1048,NA,NA
"3061","elegant",5546,5123,423
"3062","element",6227,8202,1975
"3063","elementary",2090,1530,560
"3064","elements",6587,8413,1826
"3065","elephant",1698,1044,654
"3066","elevated",911,NA,NA
"3067","eligible",3796,5124,1328
"3068","eliminate",6660,3477,3183
"3069","eliminated",3317,1946,1371
"3070","eliminating",4312,NA,NA
"3071","elite",7693,5356,2337
"3072","elites",1624,223,1401
"3073","eliza",339,NA,NA
"3074","elizabeth",7926,7257,669
"3075","ellen",5976,NA,NA
"3076","elliot",1529,NA,NA
"3077","elliott",850,NA,NA
