"","features","rank_in_american","rank_in_british","difference"
"222","abuses",4597,861,3736
"223","abusive",2087,NA,NA
"224","academic",8245,8300,55
"225","academics",3127,2977,150
"226","academy",6955,5108,1847
"227","accent",4273,2876,1397
"228","accept",8800,8970,170
"229","acceptable",5324,7433,2109
"230","acceptance",5111,6938,1827
"231","accepted",7675,8916,1241
"232","accepting",5828,5577,251
"233","accepts",3090,2672,418
"234","access",9014,9043,29
"235","accessible",3997,5374,1377
"236","accident",7498,8314,816
"237","accidental",3194,1770,1424
"238","accidentally",3596,NA,NA
"239","accidents",4675,5519,844
"240","acclaim",231,NA,NA
"241","acclaimed",1217,NA,NA
"242","accompanied",5519,7281,1762
"243","accompanying",5532,3334,2198
"244","accomplish",3460,NA,NA
"245","accomplished",4399,2866,1533
"246","accomplishment",1803,NA,NA
"247","accomplishments",3370,NA,NA
"248","accord",4853,4866,13
"249","according",9757,9421,336
"250","accordingly",219,6626,6407
"251","accords",1455,NA,NA
"252","account",9159,9484,325
"253","accountability",405,5191,4786
"254","accountable",1554,2288,734
"255","accounting",5041,7914,2873
"256","accounts",8435,8837,402
"257","accuracy",2980,4971,1991
"258","accurate",6957,6590,367
"259","accurately",3461,4222,761
"260","accusation",4889,NA,NA
"261","accusations",5421,2136,3285
"262","accuse",5295,NA,NA
"263","accused",8893,8399,494
"264","accuses",5384,NA,NA
"265","accusing",5637,NA,NA
"266","accustomed",523,1862,1339
"267","ace",562,2186,1624
"268","acheson",2259,NA,NA
"269","achieve",7125,8656,1531
"270","achieved",6481,8838,2357
"271","achievement",6519,7483,964
"272","achievements",3951,5565,1614
"273","achieving",3238,6025,2787
"274","acid",2021,5413,3392
"275","acknowledge",5910,4782,1128
"276","acknowledged",5816,6086,270
"277","acknowledges",2984,NA,NA
"278","acknowledging",1335,NA,NA
"279","acquaintance",234,NA,NA
"280","acquire",4702,6119,1417
"281","acquired",5376,7661,2285
"282","acquiring",2213,3131,918
"283","acquisition",4635,6833,2198
"284","acquisitions",226,1983,1757
"285","acquittal",1221,NA,NA
"286","acres",651,5357,4706
"287","across",9236,9426,190
"288","act",9400,9767,367
"289","acted",5124,6543,1419
"290","acting",7982,8135,153
"291","action",9545,9683,138
"292","actions",7811,8112,301
"293","active",6997,8529,1532
"294","actively",3723,5261,1538
"295","activism",1514,NA,NA
"296","activist",5156,NA,NA
"297","activists",6845,3994,2851
"298","activities",7548,9314,1766
"299","activity",7510,9042,1532
"300","actor",7835,6275,1560
"301","actors",7962,5655,2307
"302","actress",7207,4010,3197
"303","actresses",777,NA,NA
"304","acts",6915,8075,1160
"305","actual",8996,8449,547
"306","actually",9734,9234,500
"307","ad",9141,7068,2073
"308","adam",5868,4237,1631
"309","adams",6301,4154,2147
"310","adaptation",5151,2164,2987
"311","add",8711,8723,12
"312","added",9053,9327,274
"313","addicted",2261,NA,NA
"314","addiction",4867,1627,3240
"315","addictive",1630,1501,129
"316","addicts",1823,NA,NA
"317","adding",7275,6720,555
"318","addition",7863,9048,1185
"319","additional",7485,8739,1254
"320","address",9392,8392,1000
"321","addressed",4910,6798,1888
"322","addresses",5353,4144,1209
"323","addressing",3224,2940,284
"324","adds",8179,6236,1943
"325","adequate",2307,7406,5099
"326","adjusted",476,2602,2126
"327","administration",9484,8733,751
"328","administration's",7518,NA,NA
"329","administrative",2086,7885,5799
"330","administrators",1352,3136,1784
"331","admirable",4182,NA,NA
"332","admiration",2699,2203,496
"333","admire",5060,1011,4049
"334","admired",3545,3021,524
"335","admission",6252,6585,333
"336","admissions",5685,1498,4187
"337","admit",8413,6497,1916
"338","admits",6510,4821,1689
"339","admitted",7829,8375,546
"340","admittedly",2575,1345,1230
"341","admitting",4722,489,4233
"342","adolescence",201,NA,NA
"343","adolescent",3627,NA,NA
"344","adopt",5059,6753,1694
"345","adopted",7258,8463,1205
"346","adopting",858,2835,1977
"347","adoption",2154,5726,3572
"348","adorable",530,NA,NA
"349","ads",9071,987,8084
"350","adult",7595,8054,459
"351","adultery",7055,NA,NA
"352","adults",7521,7135,386
"353","advance",8105,8140,35
"354","advanced",6796,7997,1201
"355","advances",4790,4298,492
"356","advancing",668,758,90
"357","advantage",8124,8676,552
"358","advantages",4841,7047,2206
"359","advent",2966,1801,1165
"360","adventure",4684,5161,477
"361","adventures",3968,99,3869
"362","adverse",59,4178,4119
"363","advertise",1120,NA,NA
"364","advertised",2658,1811,847
"365","advertisers",6144,NA,NA
"366","advertising",8666,8120,546
"367","advice",8716,9162,446
"368","advise",1842,5954,4112
"369","advised",4260,6600,2340
"370","adviser",7034,5748,1286
"371","advisers",6175,6308,133
"372","advises",3265,NA,NA
"373","advisor",1338,NA,NA
"374","advisory",2614,5732,3118
"375","advocacy",4402,NA,NA
"376","advocate",6497,3139,3358
"377","advocates",7445,1996,5449
"378","advocating",2050,NA,NA
"379","aesthetic",6141,4778,1363
"380","affair",9028,7111,1917
"381","affairs",7840,8920,1080
"382","affect",6784,8011,1227
"383","affected",5345,8364,3019
"384","affecting",614,5474,4860
"385","affection",4219,3591,628
"386","affects",1770,4563,2793
"387","affidavit",4281,NA,NA
"388","affirmative",8306,NA,NA
"389","afflicted",1043,NA,NA
"390","affluent",1527,NA,NA
"391","afford",7545,7464,81
"392","affordable",1504,NA,NA
"393","afghanistan",5538,2525,3013
"394","afl-cio",3049,NA,NA
"395","afraid",7299,6012,1287
"396","africa",7971,8823,852
"397","african",7629,8148,519
"398","african-american",6302,NA,NA
"399","african-americans",4893,NA,NA
"400","africana",1220,NA,NA
"401","africans",1371,1012,359
"402","after",9915,9927,12
"403","aftermath",3103,2426,677
"404","afternoon",6156,7994,1838
"405","afterward",3501,NA,NA
"406","again",9708,9789,81
"407","against",9882,9878,4
"408","age",9485,9582,97
"409","aged",2435,8235,5800
"410","agencies",7023,7880,857
"411","agency",8406,8473,67
"412","agency's",1138,NA,NA
"413","agenda",8004,6397,1607
"414","agent",7825,7646,179
"415","agents",8232,7402,830
"416","ages",5913,6997,1084
"417","aggression",4339,4455,116
"418","aggressive",7386,5534,1852
"419","aggressively",3534,NA,NA
"420","aging",6062,NA,NA
"421","ago",9726,9462,264
"422","agree",9262,8628,634
"423","agreed",9020,9375,355
"424","agreeing",2249,2304,55
"425","agreement",8993,9443,450
"426","agreements",5340,7300,1960
"427","agrees",7161,3369,3792
"428","agriculture",4433,7607,3174
"429","ah",5025,855,4170
"430","ahead",8436,8747,311
"431","aid",8401,9079,678
"432","aide",7191,NA,NA
"433","aides",7427,NA,NA
"434","aids",7917,7288,629
"435","aim",5208,8618,3410
"436","aimed",5666,7534,1868
"437","aims",4414,8019,3605
"438","air",9476,9353,123
"439","aircraft",6159,8348,2189
"440","aired",3374,NA,NA
"441","airing",745,NA,NA
"442","airline",5931,3634,2297
"443","airlines",7181,3710,3471
"444","airplane",3670,NA,NA
"445","airport",6370,6867,497
"446","airports",1979,NA,NA
"447","airstrikes",4724,NA,NA
"448","akin",2211,NA,NA
"449","al",9462,7755,1707
"450","alabama",4259,NA,NA
"451","alamos",2887,NA,NA
"452","alan",8640,8184,456
"453","alarm",4409,5199,790
"454","alarming",3340,171,3169
"455","alas",6149,NA,NA
"456","alaska",1995,NA,NA
"457","albania",2812,148,2664
"458","albanian",5911,NA,NA
"459","albanians",6761,NA,NA
"460","albeit",4525,4844,319
"461","albert",6032,5643,389
"462","albright",7831,NA,NA
"463","albright's",4189,NA,NA
"464","album",7301,6808,493
"465","albums",906,475,431
"466","alcohol",6705,6680,25
"467","alcoholic",2093,NA,NA
"468","alert",4294,4636,342
"469","alex",5446,4855,591
"470","alexander",7556,6389,1167
"471","alexis",1061,NA,NA
"472","alfred",3695,3107,588
"473","ali",2363,5103,2740
"474","alice",3190,2037,1153
"475","alien",6280,3011,3269
"476","alienated",1447,NA,NA
"477","aliens",4658,NA,NA
"478","alike",4589,4784,195
"479","alive",7871,6613,1258
"480","all",9962,9960,2
"481","all-time",1652,NA,NA
"482","allegation",3287,NA,NA
"483","allegations",7772,6384,1388
"484","alleged",8602,7664,938
"485","allegedly",7340,4543,2797
"486","alleges",3187,NA,NA
"487","alleging",750,NA,NA
"488","allen",7588,5287,2301
"489","allen's",3029,NA,NA
"490","alley",195,NA,NA
"491","allgemeine",1047,NA,NA
"492","alliance",7092,7548,456
"493","alliances",125,1188,1063
"494","allied",4010,6223,2213
"495","allies",7714,5835,1879
"496","allow",8980,9103,123
"497","allowed",8924,9184,260
"498","allowing",7317,7728,411
"499","allows",7847,7420,427
"500","ally",5969,3101,2868
"501","almost",9705,9694,11
"502","alone",9195,8985,210
"503","along",9479,9491,12
"504","alongside",3335,7291,3956
"505","alpha",1681,NA,NA
"506","already",9690,9738,48
"507","also",9930,9943,13
"508","alter",5311,5457,146
"509","altered",1592,5496,3904
"510","alternative",8612,8905,293
"511","alternatives",3846,5378,1532
"512","although",9620,9841,221
"513","altman",2830,NA,NA
"514","altogether",5217,6739,1522
"515","alumni",21,NA,NA
"516","always",9736,9775,39
"517","am",9639,9543,96
"518","amateur",2779,5485,2706
"519","amazing",7180,5045,2135
"520","amazon",6501,NA,NA
"521","ambassador",6308,4686,1622
"522","ambiguity",542,2799,2257
"523","ambiguous",3134,2698,436
"524","ambition",4964,4758,206
"525","ambitions",4181,3851,330
"526","ambitious",6305,5375,930
"527","ambivalence",1947,NA,NA
"528","ambivalent",927,NA,NA
"529","amendment",8312,5449,2863
"530","america",9683,9003,680
"531","america's",9088,5365,3723
"532","american",9888,9540,348
"533","americans",9592,7140,2452
"534","ames",3173,NA,NA
"535","amid",5824,4290,1534
"536","amis",1164,NA,NA
"537","among",9748,9662,86
"538","amount",8752,9435,683
"539","amounts",7030,6848,182
"540","ample",1621,2417,796
"541","amsterdam",1824,2923,1099
"542","amused",675,NA,NA
"543","amusing",6163,859,5304
"544","amy",3920,NA,NA
"545","an",9977,9973,4
"546","analogy",5214,1532,3682
"547","analysis",8863,9220,357
"548","analyst",5863,1647,4216
"549","analysts",8347,4128,4219
"550","analyze",2815,NA,NA
"551","ancestors",2846,951,1895
"552","ancient",7719,7697,22
"553","and",9996,9997,1
"554","anderson",6213,5107,1106
"555","andrew",8445,7749,696
"556","andy",5389,6730,1341
"557","anecdotal",1266,NA,NA
"558","anecdote",1937,NA,NA
"559","anecdotes",3071,NA,NA
"560","angel",3343,1488,1855
"561","angeles",9680,4613,5067
"562","angels",4042,705,3337
"563","anger",6879,5829,1050
"564","angle",6148,4763,1385
"565","angles",2096,2416,320
"566","angry",7809,6279,1530
"567","animal",7074,7671,597
"568","animals",7344,8057,713
"569","animated",3234,NA,NA
"570","animation",1236,NA,NA
"571","anita",1726,NA,NA
"572","ann",5936,4780,1156
"573","anna",4612,3441,1171
"574","annan",4847,NA,NA
"575","anne",5845,7207,1362
"576","annie",1214,NA,NA
"577","anniversary",6974,6574,400
"578","announce",5964,2990,2974
"579","announced",9116,9207,91
"580","announcement",8221,6659,1562
"581","announces",4555,NA,NA
"582","announcing",4651,2318,2333
"583","annoyed",2069,NA,NA
"584","annoying",5091,NA,NA
"585","annual",8262,8982,720
"586","annually",3377,4005,628
"587","anonymous",6684,3895,2789
"588","another",9858,9862,4
"589","answer",9717,9050,667
"590","answered",6093,5438,655
"591","answering",4172,2329,1843
"592","answers",9169,7107,2062
"593","anthology",816,NA,NA
"594","anthony",6874,6509,365
"595","anti-abortion",2535,NA,NA
"596","anti-clinton",2005,NA,NA
"597","anti-drug",2774,NA,NA
"598","anti-missile",187,NA,NA
"599","anti-semitic",4602,NA,NA
"600","anti-semitism",4994,NA,NA
"601","antichrist",4562,NA,NA
"602","anticipated",4380,5213,833
"603","anticipation",305,1005,700
"604","antidote",84,NA,NA
"605","antitrust",7777,NA,NA
"606","anxiety",4922,5931,1009
"607","anxious",5029,6446,1417
"608","any",9909,9926,17
"609","anybody",6930,5347,1583
"610","anymore",6869,NA,NA
"611","anyone",9528,9122,406
"612","anyone's",1705,NA,NA
"613","anything",9613,9356,257
"614","anyway",8792,7255,1537
"615","anywhere",6737,6455,282
"616","ap",5928,NA,NA
"617","apart",7453,8845,1392
"618","apartment",7436,2357,5079
"619","apartments",41,1756,1715
"620","apocalypse",2730,NA,NA
"621","apocalyptic",162,NA,NA
"622","apologies",2405,NA,NA
"623","apologize",6162,NA,NA
"624","apologized",4145,NA,NA
"625","apology",7268,NA,NA
"626","appalled",3449,NA,NA
"627","appalling",1404,3164,1760
"628","apparatus",415,3521,3106
"629","apparent",7663,8147,484
"630","apparently",9344,8466,878
"631","appeal",8582,9349,767
"632","appealing",6558,4175,2383
"633","appeals",6666,5989,677
"634","appear",8898,9077,179
"635","appearance",8373,8069,304
"636","appearances",5248,4311,937
"637","appeared",8512,8964,452
"638","appearing",5405,4607,798
"639","appears",8821,8766,55
"640","appetite",3794,1681,2113
"641","applaud",3502,NA,NA
"642","applauded",2112,NA,NA
"643","applauds",2670,NA,NA
"644","applause",2677,NA,NA
"645","apple",7234,4775,2459
"646","applicants",738,5094,4356
"647","application",5728,8927,3199
"648","applications",5540,7465,1925
"649","applied",6931,8721,1790
"650","applies",4087,7061,2974
"651","apply",7804,8896,1092
"652","applying",1754,5856,4102
"653","appoint",3292,4185,893
"654","appointed",5431,8832,3401
"655","appointment",5355,8002,2647
"656","appointments",1453,5281,3828
"657","appreciate",6010,6314,304
"658","appreciated",1075,5101,4026
"659","appreciation",4326,4534,208
"660","approach",8735,9480,745
"661","approached",2582,6478,3896
"662","approaches",3386,7448,4062
"663","approaching",1283,4921,3638
"664","appropriate",7732,9210,1478
"665","appropriately",1414,2704,1290
"666","appropriations",1279,NA,NA
"667","approval",7881,7604,277
"668","approve",5272,2852,2420
"669","approved",7633,8241,608
"670","approximately",2889,6691,3802
"671","april",8831,9535,704
"672","apt",2913,1116,1797
"673","arab",7988,7282,706
"674","arabia",4566,4074,492
"675","arabs",3397,666,2731
"676","arafat",7033,NA,NA
"677","arafat's",1239,NA,NA
"678","arbitrary",2386,3150,764
"679","archer",1165,NA,NA
"680","architect",3500,5555,2055
"681","architectural",760,5132,4372
"682","architecture",6814,6558,256
"683","archive",2360,1255,1105
"684","archives",4530,2143,2387
"685","are",9980,9983,3
"686","area",8235,9793,1558
"687","areas",7814,9679,1865
"688","arena",4473,3636,837
"689","argentina",1982,3407,1425
"690","arguably",4743,2031,2712
"691","argue",8872,7776,1096
"692","argued",8607,8730,123
"693","argues",9050,6673,2377
